timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/06/02 00:59:48.178, 0, 37 %, 24 %, 1802 MiB, 169.77 W
2026/06/02 00:59:48.178, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:59:49.179, 0, 37 %, 24 %, 1802 MiB, 169.19 W
2026/06/02 00:59:49.179, 1, 0 %, 0 %, 18 MiB, 29.28 W
2026/06/02 00:59:50.180, 0, 36 %, 24 %, 1802 MiB, 169.11 W
2026/06/02 00:59:50.181, 1, 0 %, 0 %, 18 MiB, 29.17 W
2026/06/02 00:59:51.181, 0, 37 %, 24 %, 1802 MiB, 168.85 W
2026/06/02 00:59:51.182, 1, 0 %, 0 %, 18 MiB, 29.20 W
2026/06/02 00:59:52.183, 0, 38 %, 24 %, 1802 MiB, 168.18 W
2026/06/02 00:59:52.183, 1, 0 %, 0 %, 18 MiB, 29.08 W
2026/06/02 00:59:53.184, 0, 30 %, 20 %, 1802 MiB, 168.21 W
2026/06/02 00:59:53.185, 1, 0 %, 0 %, 18 MiB, 29.25 W
2026/06/02 00:59:54.185, 0, 37 %, 25 %, 1802 MiB, 171.13 W
2026/06/02 00:59:54.186, 1, 0 %, 0 %, 18 MiB, 29.16 W
2026/06/02 00:59:55.187, 0, 37 %, 24 %, 1802 MiB, 168.43 W
2026/06/02 00:59:55.188, 1, 0 %, 0 %, 18 MiB, 29.20 W
2026/06/02 00:59:56.188, 0, 36 %, 25 %, 1802 MiB, 183.04 W
2026/06/02 00:59:56.190, 1, 0 %, 0 %, 18 MiB, 29.11 W
2026/06/02 00:59:57.190, 0, 31 %, 21 %, 1802 MiB, 198.90 W
2026/06/02 00:59:57.194, 1, 0 %, 0 %, 18 MiB, 29.61 W
2026/06/02 00:59:58.195, 0, 37 %, 24 %, 1802 MiB, 186.98 W
2026/06/02 00:59:58.199, 1, 0 %, 0 %, 18 MiB, 30.04 W
2026/06/02 00:59:59.200, 0, 37 %, 25 %, 1802 MiB, 168.87 W
2026/06/02 00:59:59.200, 1, 0 %, 0 %, 18 MiB, 29.10 W
2026/06/02 01:00:00.201, 0, 30 %, 20 %, 1802 MiB, 169.22 W
2026/06/02 01:00:00.202, 1, 0 %, 0 %, 18 MiB, 28.86 W
2026/06/02 01:00:01.202, 0, 36 %, 25 %, 1802 MiB, 199.70 W
2026/06/02 01:00:01.203, 1, 0 %, 0 %, 18 MiB, 29.50 W
2026/06/02 01:00:02.204, 0, 45 %, 31 %, 1802 MiB, 211.87 W
2026/06/02 01:00:02.204, 1, 0 %, 0 %, 18 MiB, 29.65 W
2026/06/02 01:00:03.205, 0, 35 %, 24 %, 1802 MiB, 209.08 W
2026/06/02 01:00:03.205, 1, 0 %, 0 %, 18 MiB, 29.77 W
2026/06/02 01:00:04.206, 0, 35 %, 24 %, 1802 MiB, 198.22 W
